法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣橋頭地方法院,105法登他1,6,變更登記,社團法人中華民國國立高雄第一科技大學金融系系友會,105/11/01,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMANAAF&bc=105&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=CTD&fg=1,output/details/CTD/105/000001/AAAdkxAAHAAAMANAAF.json,AAAdkxAAHAAAMANAAF,CTD
臺灣橋頭地方法院,105法登社5,7,設立登記,社團法人高雄市愛種樹協會,105/11/08,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ2yAAB&bc=105&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000005&ef=CTD&fg=1,output/details/CTD/105/000005/AAAdkxAAHAAAJ2yAAB.json,AAAdkxAAHAAAJ2yAAB,CTD
臺灣橋頭地方法院,105法登社5,7,設立登記,社團法人高雄市愛種樹協會,105/11/08,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMBWAAI&bc=105&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000005&ef=CTD&fg=1,output/details/CTD/105/000005/AAAdkxAAHAAAMBWAAI.json,AAAdkxAAHAAAMBWAAI,CTD
臺灣橋頭地方法院,105法登他2,8,變更登記,社團法人高雄市田寮老人福利協進會,105/11/08,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMCqAAD&bc=105&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000002&ef=CTD&fg=1,output/details/CTD/105/000002/AAAdkxAAHAAAMCqAAD.json,AAAdkxAAHAAAMCqAAD,CTD
臺灣橋頭地方法院,105法登他3,9,變更登記,財團法人高雄市闄後北極殿,105/11/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMCiAAC&bc=105&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000003&ef=CTD&fg=1,output/details/CTD/105/000003/AAAdkxAAHAAAMCiAAC.json,AAAdkxAAHAAAMCiAAC,CTD
臺灣橋頭地方法院,105法登社6,10,設立登記,社團法人高雄市基督教光耀教會協會,105/11/15,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMCfAAB&bc=105&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000006&ef=CTD&fg=1,output/details/CTD/105/000006/AAAdkxAAHAAAMCfAAB.json,AAAdkxAAHAAAMCfAAB,CTD
臺灣橋頭地方法院,105法登社7,11,設立登記,社團法人高雄市樂馨社會福利關懷協會,105/11/18,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMCwAAJ&bc=105&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000007&ef=CTD&fg=1,output/details/CTD/105/000007/AAAdkxAAHAAAMCwAAJ.json,AAAdkxAAHAAAMCwAAJ,CTD
臺灣橋頭地方法院,105法登社5,7,設立登記,社團法人高雄市愛種樹協會,105/11/08,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMCtAAH&bc=105&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000005&ef=CTD&fg=1,output/details/CTD/105/000005/AAAdkxAAHAAAMCtAAH.json,AAAdkxAAHAAAMCtAAH,CTD
臺灣橋頭地方法院,105法登財2,12,設立登記,財團法人桃園市有愛社會福利慈善基金會,105/11/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMBlAAB&bc=105&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=CTD&fg=1,output/details/CTD/105/000002/AAAdkxAAHAAAMBlAAB.json,AAAdkxAAHAAAMBlAAB,CTD
臺灣橋頭地方法院,105法登他4,12,變更登記,社團法人高雄市惠急慈善會,105/11/28,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMCHAAD&bc=105&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000004&ef=CTD&fg=1,output/details/CTD/105/000004/AAAdkxAAHAAAMCHAAD.json,AAAdkxAAHAAAMCHAAD,CTD
臺灣橋頭地方法院,105法登財2,13,設立登記,財團法人桃園市有愛社會福利慈善基金會,105/11/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMCHAAC&bc=105&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=CTD&fg=1,output/details/CTD/105/000002/AAAdkxAAHAAAMCHAAC.json,AAAdkxAAHAAAMCHAAC,CTD
臺灣橋頭地方法院,105法登他4,12,變更登記,社團法人高雄市惠急慈善會,105/11/28,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMCvAAA&bc=105&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000004&ef=CTD&fg=1,output/details/CTD/105/000004/AAAdkxAAHAAAMCvAAA.json,AAAdkxAAHAAAMCvAAA,CTD
臺灣橋頭地方法院,105法登財2,13,設立登記,財團法人桃園市有愛社會福利慈善基金會,105/11/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMCHAAL&bc=105&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=CTD&fg=1,output/details/CTD/105/000002/AAAdkxAAHAAAMCHAAL.json,AAAdkxAAHAAAMCHAAL,CTD
臺灣橋頭地方法院,105法登社8,14,設立登記,社團法人高雄市永安區烏樹林社區發展協會,105/12/05,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMC%2FAAE&bc=105&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000008&ef=CTD&fg=1,output/details/CTD/105/000008/AAAdkxAAHAAAMC-AAE.json,AAAdkxAAHAAAMC/AAE,CTD
臺灣橋頭地方法院,105法登社9,15,設立登記,社團法人高雄市昌永慈馨會,105/12/05,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMC%2FAAD&bc=105&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000009&ef=CTD&fg=1,output/details/CTD/105/000009/AAAdkxAAHAAAMC-AAD.json,AAAdkxAAHAAAMC/AAD,CTD
臺灣橋頭地方法院,105法登他5,16,變更登記,醫療財團法人正德癌症醫療基金會,105/12/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMDtAAK&bc=105&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000005&ef=CTD&fg=1,output/details/CTD/105/000005/AAAdkxAAHAAAMDtAAK.json,AAAdkxAAHAAAMDtAAK,CTD
臺灣橋頭地方法院,105法登他6,17,變更登記,財團法人正德文教傳播基金會,105/12/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMDtAAJ&bc=105&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000006&ef=CTD&fg=1,output/details/CTD/105/000006/AAAdkxAAHAAAMDtAAJ.json,AAAdkxAAHAAAMDtAAJ,CTD
